Coordinate,2018-06-16,2018-07-10,2018-10-31,2018-11-16,2018-12-16,2019-01-16,2019-02-14,2019-03-16,2019-04-16,2019-05-16,2019-06-16,2019-07-16,2019-08-16,2019-09-16,2019-10-16,2019-11-16,2019-12-16
"(-30.5, 24.5)",0.01467,0.01081,-0.01707,-0.02888,-0.03708,-0.03639,-0.03266,-0.02365,-0.00175,-0.01858,-0.01583,-0.02088,-0.03164,-0.02602,-0.04958,-0.04582,-0.03782
"(-30.5, 25.5)",0.01399,0.00901,-0.01749,-0.03239,-0.04026,-0.03961,-0.03519,-0.02331,-0.00167,-0.01623,-0.01624,-0.02146,-0.03587,-0.03200,-0.05412,-0.05141,-0.03957
"(-30.5, 26.5)",0.01290,0.00947,-0.01597,-0.03445,-0.04125,-0.04089,-0.03617,-0.02235,-0.00153,-0.01262,-0.01553,-0.01880,-0.03671,-0.03480,-0.05440,-0.05323,-0.03870
"(-30.5, 27.5)",0.01171,0.01241,-0.01284,-0.03492,-0.03981,-0.03954,-0.03535,-0.02046,-0.00102,-0.00787,-0.01341,-0.01287,-0.03342,-0.03388,-0.05017,-0.05072,-0.03502
"(-30.5, 28.5)",0.01078,0.01764,-0.00869,-0.03378,-0.03604,-0.03521,-0.03266,-0.01713,0.00008,-0.00227,-0.00968,-0.00426,-0.02585,-0.02938,-0.04181,-0.04411,-0.02873
"(-30.5, 29.5)",0.01042,0.02457,-0.00429,-0.03116,-0.03039,-0.02809,-0.02826,-0.01187,0.00177,0.00371,-0.00428,0.00592,-0.01457,-0.02209,-0.03042,-0.03448,-0.02045
"(-30.5, 30.5)",0.01073,0.03224,-0.00046,-0.02739,-0.02361,-0.01895,-0.02257,-0.00447,0.00381,0.00940,0.00255,0.01624,-0.00083,-0.01327,-0.01766,-0.02363,-0.01103
"(-30.5, 31.5)",0.01158,0.03946,0.00204,-0.02298,-0.01658,-0.00898,-0.01618,0.00486,0.00576,0.01402,0.01022,0.02527,0.01370,-0.00437,-0.00541,-0.01361,-0.00145
"(-30.5, 32.5)",0.01252,0.04503,0.00268,-0.01858,-0.01014,0.00053,-0.00966,0.01545,0.00718,0.01692,0.01788,0.03185,0.02728,0.00327,0.00476,-0.00618,0.00736
"(-30.5, 33.5)",0.01303,0.04808,0.00135,-0.01486,-0.00486,0.00860,-0.00342,0.02628,0.00773,0.01778,0.02458,0.03533,0.03845,0.00866,0.01195,-0.00223,0.01462
"(-29.5, 17.5)",0.00272,0.02423,0.01891,0.00852,0.00762,-0.00552,-0.00250,-0.00824,0.00405,-0.00710,-0.00176,0.01551,0.01840,0.02168,0.01985,0.00106,-0.00093
"(-29.5, 18.5)",0.00662,0.02695,0.01083,0.00241,0.00053,-0.00882,-0.00588,-0.01223,0.00201,-0.01023,-0.00617,0.00944,0.00990,0.01658,0.01194,-0.00260,-0.00620
"(-29.5, 19.5)",0.01074,0.02825,0.00285,-0.00343,-0.00676,-0.01264,-0.00987,-0.01609,0.00010,-0.01292,-0.00958,0.00302,0.00196,0.01085,0.00192,-0.00764,-0.01147
"(-29.5, 20.5)",0.01420,0.02740,-0.00444,-0.00910,-0.01407,-0.01713,-0.01457,-0.01965,-0.00140,-0.01506,-0.01205,-0.00353,-0.00555,0.00443,-0.00948,-0.01433,-0.01693
"(-29.5, 21.5)",0.01637,0.02429,-0.01065,-0.01477,-0.02127,-0.02231,-0.01985,-0.02272,-0.00239,-0.01659,-0.01371,-0.01002,-0.01292,-0.00284,-0.02140,-0.02263,-0.02269
"(-29.5, 22.5)",0.01701,0.01950,-0.01562,-0.02051,-0.02827,-0.02812,-0.02545,-0.02521,-0.00297,-0.01745,-0.01476,-0.01621,-0.02036,-0.01101,-0.03301,-0.03212,-0.02868
"(-29.5, 23.5)",0.01618,0.01408,-0.01930,-0.02627,-0.03493,-0.03432,-0.03094,-0.02714,-0.00336,-0.01761,-0.01547,-0.02173,-0.02781,-0.01974,-0.04358,-0.04202,-0.03456
"(-29.5, 24.5)",0.01420,0.00924,-0.02168,-0.03181,-0.04099,-0.04044,-0.03585,-0.02857,-0.00374,-0.01704,-0.01611,-0.02599,-0.03470,-0.02825,-0.05237,-0.05124,-0.03970
"(-29.5, 25.5)",0.01152,0.00599,-0.02267,-0.03671,-0.04594,-0.04568,-0.03962,-0.02948,-0.00413,-0.01572,-0.01681,-0.02828,-0.04003,-0.03541,-0.05858,-0.05848,-0.04328
"(-29.5, 26.5)",0.00875,0.00502,-0.02222,-0.04044,-0.04917,-0.04902,-0.04168,-0.02964,-0.00436,-0.01360,-0.01748,-0.02791,-0.04260,-0.04009,-0.06134,-0.06246,-0.04447
"(-29.5, 27.5)",0.00651,0.00663,-0.02029,-0.04247,-0.05005,-0.04942,-0.04157,-0.02858,-0.00416,-0.01063,-0.01768,-0.02448,-0.04139,-0.04145,-0.06001,-0.06221,-0.04272
"(-29.5, 28.5)",0.00537,0.01074,-0.01706,-0.04239,-0.04823,-0.04623,-0.03905,-0.02565,-0.00334,-0.00686,-0.01673,-0.01807,-0.03589,-0.03923,-0.05440,-0.05749,-0.03788
"(-29.5, 29.5)",0.00566,0.01691,-0.01292,-0.04003,-0.04376,-0.03946,-0.03425,-0.02033,-0.00189,-0.00252,-0.01395,-0.00932,-0.02636,-0.03381,-0.04507,-0.04894,-0.03036
"(-29.5, 30.5)",0.00730,0.02428,-0.00855,-0.03565,-0.03717,-0.02989,-0.02773,-0.01241,-0.00003,0.00193,-0.00903,0.00060,-0.01378,-0.02608,-0.03329,-0.03809,-0.02101
"(-29.5, 31.5)",0.00972,0.03166,-0.00479,-0.02992,-0.02935,-0.01890,-0.02033,-0.00222,0.00183,0.00580,-0.00221,0.01029,0.00028,-0.01731,-0.02081,-0.02700,-0.01095
"(-29.5, 32.5)",0.01200,0.03772,-0.00248,-0.02386,-0.02132,-0.00804,-0.01291,0.00936,0.00324,0.00841,0.00569,0.01835,0.01406,-0.00890,-0.00936,-0.01772,-0.00140
"(-29.5, 33.5)",0.01316,0.04132,-0.00221,-0.01861,-0.01400,0.00135,-0.00611,0.02116,0.00386,0.00927,0.01347,0.02368,0.02595,-0.00209,-0.00022,-0.01167,0.00656
"(-29.5, 34.5)",0.01247,0.04191,-0.00412,-0.01504,-0.00795,0.00848,-0.00014,0.03193,0.00355,0.00837,0.01999,0.02572,0.03485,0.00229,0.00607,-0.00922,0.01218
"(-28.5, 17.5)",0.00361,0.02599,0.01227,0.00335,0.00445,-0.00773,-0.00414,-0.00763,0.00482,-0.00840,-0.00464,0.00877,0.00992,0.01432,0.01254,-0.00740,-0.00575
"(-28.5, 18.5)",0.00761,0.02793,0.00366,-0.00259,-0.00266,-0.01065,-0.00742,-0.01187,0.00290,-0.01142,-0.00991,0.00261,0.00105,0.00849,0.00465,-0.01114,-0.01058
"(-28.5, 19.5)",0.01162,0.02805,-0.00414,-0.00795,-0.00988,-0.01415,-0.01147,-0.01638,0.00062,-0.01400,-0.01412,-0.00350,-0.00653,0.00302,-0.00490,-0.01571,-0.01510
"(-28.5, 20.5)",0.01467,0.02577,-0.01064,-0.01300,-0.01711,-0.01845,-0.01638,-0.02089,-0.00163,-0.01609,-0.01711,-0.00953,-0.01313,-0.00239,-0.01549,-0.02158,-0.01961
"(-28.5, 21.5)",0.01607,0.02120,-0.01573,-0.01810,-0.02427,-0.02365,-0.02200,-0.02514,-0.00355,-0.01765,-0.01887,-0.01552,-0.01934,-0.00828,-0.02642,-0.02898,-0.02442
"(-28.5, 22.5)",0.01552,0.01513,-0.01964,-0.02357,-0.03142,-0.02974,-0.02804,-0.02894,-0.00503,-0.01865,-0.01962,-0.02145,-0.02575,-0.01510,-0.03710,-0.03776,-0.02971
"(-28.5, 23.5)",0.01315,0.00876,-0.02272,-0.02952,-0.03857,-0.03653,-0.03407,-0.03223,-0.00614,-0.01910,-0.01986,-0.02716,-0.03255,-0.02288,-0.04711,-0.04735,-0.03534
"(-28.5, 24.5)",0.00943,0.00327,-0.02522,-0.03575,-0.04554,-0.04353,-0.03958,-0.03498,-0.00702,-0.01903,-0.02023,-0.03223,-0.03940,-0.03109,-0.05600,-0.05686,-0.04081
"(-28.5, 25.5)",0.00510,-0.00041,-0.02712,-0.04176,-0.05189,-0.04990,-0.04396,-0.03702,-0.00775,-0.01846,-0.02125,-0.03600,-0.04539,-0.03878,-0.06314,-0.06504,-0.04531
"(-28.5, 26.5)",0.00108,-0.00179,-0.02816,-0.04682,-0.05687,-0.05450,-0.04655,-0.03798,-0.00826,-0.01738,-0.02299,-0.03771,-0.04929,-0.04481,-0.06768,-0.07059,-0.04787
"(-28.5, 27.5)",-0.00173,-0.00070,-0.02792,-0.05013,-0.05965,-0.05615,-0.04677,-0.03734,-0.00838,-0.01575,-0.02495,-0.03669,-0.04992,-0.04821,-0.06875,-0.07237,-0.04770
"(-28.5, 28.5)",-0.00262,0.00273,-0.02608,-0.05100,-0.05956,-0.05403,-0.04433,-0.03448,-0.00795,-0.01352,-0.02614,-0.03261,-0.04652,-0.04840,-0.06577,-0.06978,-0.04444
"(-28.5, 29.5)",-0.00130,0.00815,-0.02265,-0.04907,-0.05638,-0.04803,-0.03937,-0.02898,-0.00691,-0.01076,-0.02545,-0.02569,-0.03903,-0.04530,-0.05882,-0.06300,-0.03828
"(-28.5, 30.5)",0.00188,0.01485,-0.01805,-0.04453,-0.05042,-0.03884,-0.03250,-0.02080,-0.00543,-0.00769,-0.02213,-0.01674,-0.02816,-0.03940,-0.04872,-0.05314,-0.02999
"(-28.5, 31.5)",0.00596,0.02182,-0.01314,-0.03811,-0.04253,-0.02781,-0.02470,-0.01038,-0.00379,-0.00476,-0.01617,-0.00705,-0.01520,-0.03162,-0.03693,-0.04199,-0.02068
"(-28.5, 32.5)",0.00961,0.02782,-0.00904,-0.03102,-0.03379,-0.01658,-0.01699,0.00140,-0.00233,-0.00255,-0.00831,0.00189,-0.00179,-0.02324,-0.02513,-0.03160,-0.01161
"(-28.5, 33.5)",0.01147,0.03167,-0.00677,-0.02464,-0.02525,-0.00659,-0.01012,0.01338,-0.00131,-0.00152,0.00014,0.00868,0.01047,-0.01558,-0.01477,-0.02366,-0.00389
"(-28.5, 34.5)",0.01065,0.03271,-0.00694,-0.02012,-0.01766,0.00122,-0.00430,0.02438,-0.00089,-0.00181,0.00786,0.01247,0.02037,-0.00975,-0.00670,-0.01905,0.00171
"(-27.5, 17.5)",0.00356,0.02741,0.00780,-0.00008,0.00207,-0.00917,-0.00653,-0.00735,0.00576,-0.00955,-0.00747,0.00283,0.00168,0.00679,0.00570,-0.01404,-0.01079
"(-27.5, 18.5)",0.00664,0.02759,-0.00133,-0.00618,-0.00515,-0.01209,-0.00987,-0.01179,0.00365,-0.01298,-0.01384,-0.00369,-0.00778,-0.00016,-0.00253,-0.01831,-0.01542
"(-27.5, 19.5)",0.00956,0.02539,-0.00918,-0.01163,-0.01265,-0.01570,-0.01417,-0.01694,0.00065,-0.01621,-0.01938,-0.01009,-0.01557,-0.00601,-0.01212,-0.02312,-0.01943
"(-27.5, 20.5)",0.01141,0.02063,-0.01530,-0.01674,-0.02030,-0.02019,-0.01943,-0.02246,-0.00272,-0.01912,-0.02372,-0.01642,-0.02207,-0.01117,-0.02250,-0.02903,-0.02316
"(-27.5, 21.5)",0.01153,0.01387,-0.01977,-0.02197,-0.02799,-0.02559,-0.02545,-0.02802,-0.00593,-0.02159,-0.02663,-0.02276,-0.02795,-0.01638,-0.03304,-0.03633,-0.02703
"(-27.5, 22.5)",0.00963,0.00623,-0.02312,-0.02771,-0.03571,-0.03185,-0.03185,-0.03336,-0.00863,-0.02350,-0.02823,-0.02912,-0.03392,-0.02231,-0.04328,-0.04493,-0.03137
"(-27.5, 23.5)",0.00583,-0.00097,-0.02603,-0.03415,-0.04349,-0.03878,-0.03818,-0.03825,-0.01072,-0.02474,-0.02907,-0.03536,-0.04032,-0.02925,-0.05296,-0.05437,-0.03630
"(-27.5, 24.5)",0.00072,-0.00661,-0.02897,-0.04109,-0.05119,-0.04592,-0.04392,-0.04240,-0.01232,-0.02533,-0.02993,-0.04118,-0.04698,-0.03696,-0.06180,-0.06386,-0.04149
"(-27.5, 25.5)",-0.00477,-0.01002,-0.03201,-0.04798,-0.05843,-0.05253,-0.04847,-0.04544,-0.01355,-0.02533,-0.03150,-0.04601,-0.05318,-0.04473,-0.06940,-0.07236,-0.04626
"(-27.5, 26.5)",-0.00950,-0.01104,-0.03474,-0.05401,-0.06449,-0.05755,-0.05119,-0.04686,-0.01449,-0.02489,-0.03398,-0.04918,-0.05785,-0.05161,-0.07504,-0.07874,-0.04967
"(-27.5, 27.5)",-0.01238,-0.00982,-0.03643,-0.05826,-0.06849,-0.05990,-0.05152,-0.04616,-0.01508,-0.02411,-0.03688,-0.04996,-0.05989,-0.05664,-0.07786,-0.08197,-0.05087
"(-27.5, 28.5)",-0.01267,-0.00668,-0.03635,-0.05995,-0.06968,-0.05879,-0.04919,-0.04299,-0.01522,-0.02304,-0.03914,-0.04787,-0.05845,-0.05904,-0.07712,-0.08135,-0.04935
"(-27.5, 29.5)",-0.01020,-0.00200,-0.03407,-0.05867,-0.06770,-0.05402,-0.04435,-0.03725,-0.01484,-0.02168,-0.03953,-0.04282,-0.05325,-0.05837,-0.07260,-0.07678,-0.04516
"(-27.5, 30.5)",-0.00555,0.00371,-0.02974,-0.05452,-0.06273,-0.04611,-0.03762,-0.02917,-0.01396,-0.02003,-0.03713,-0.03528,-0.04460,-0.05464,-0.06470,-0.06886,-0.03885
"(-27.5, 31.5)",0.00003,0.00973,-0.02410,-0.04822,-0.05547,-0.03617,-0.02996,-0.01928,-0.01265,-0.01822,-0.03179,-0.02629,-0.03342,-0.04832,-0.05446,-0.05885,-0.03133
"(-27.5, 32.5)",0.00495,0.01513,-0.01838,-0.04092,-0.04688,-0.02562,-0.02235,-0.00830,-0.01104,-0.01647,-0.02413,-0.01722,-0.02099,-0.04037,-0.04328,-0.04845,-0.02365
"(-27.5, 33.5)",0.00770,0.01900,-0.01390,-0.03399,-0.03796,-0.01576,-0.01551,0.00294,-0.00923,-0.01506,-0.01532,-0.00950,-0.00871,-0.03206,-0.03250,-0.03927,-0.01670
"(-27.5, 34.5)",0.00734,0.02073,-0.01168,-0.02858,-0.02941,-0.00747,-0.00965,0.01361,-0.00731,-0.01415,-0.00663,-0.00411,0.00222,-0.02462,-0.02307,-0.03242,-0.01109
"(-27.5, 35.5)",0.00380,0.02036,-0.01207,-0.02529,-0.02162,-0.00111,-0.00450,0.02300,-0.00537,-0.01362,0.00104,-0.00131,0.01104,-0.01890,-0.01539,-0.02815,-0.00706
"(-26.5, 17.5)",0.00390,0.02976,0.00632,-0.00085,0.00124,-0.00871,-0.00788,-0.00615,0.00798,-0.01006,-0.00901,-0.00165,-0.00422,0.00175,0.00112,-0.01751,-0.01367
"(-26.5, 18.5)",0.00539,0.02767,-0.00332,-0.00735,-0.00611,-0.01182,-0.01129,-0.01063,0.00544,-0.01421,-0.01658,-0.00872,-0.01438,-0.00656,-0.00761,-0.02251,-0.01812
"(-26.5, 19.5)",0.00656,0.02263,-0.01154,-0.01332,-0.01406,-0.01578,-0.01584,-0.01622,0.00147,-0.01854,-0.02373,-0.01588,-0.02293,-0.01349,-0.01759,-0.02811,-0.02177
"(-26.5, 20.5)",0.00673,0.01500,-0.01787,-0.01904,-0.02238,-0.02064,-0.02147,-0.02263,-0.00328,-0.02281,-0.02993,-0.02320,-0.03014,-0.01940,-0.02827,-0.03481,-0.02494
"(-26.5, 21.5)",0.00531,0.00584,-0.02245,-0.02493,-0.03084,-0.02632,-0.02789,-0.02950,-0.00807,-0.02677,-0.03476,-0.03062,-0.03657,-0.02494,-0.03905,-0.04279,-0.02808
"(-26.5, 22.5)",0.00201,-0.00344,-0.02593,-0.03139,-0.03930,-0.03267,-0.03465,-0.03646,-0.01231,-0.03009,-0.03820,-0.03799,-0.04279,-0.03078,-0.04946,-0.05186,-0.03164
"(-26.5, 23.5)",-0.00305,-0.01143,-0.02916,-0.03856,-0.04769,-0.03944,-0.04124,-0.04306,-0.01572,-0.03254,-0.04063,-0.04506,-0.04914,-0.03732,-0.05924,-0.06148,-0.03589
"(-26.5, 24.5)",-0.00925,-0.01715,-0.03279,-0.04626,-0.05589,-0.04625,-0.04710,-0.04867,-0.01834,-0.03399,-0.04275,-0.05149,-0.05556,-0.04456,-0.06819,-0.07088,-0.04072
"(-26.5, 25.5)",-0.01551,-0.02019,-0.03700,-0.05391,-0.06358,-0.05250,-0.05169,-0.05261,-0.02035,-0.03457,-0.04519,-0.05688,-0.06162,-0.05217,-0.07603,-0.07923,-0.04562
"(-26.5, 26.5)",-0.02056,-0.02073,-0.04134,-0.06068,-0.07017,-0.05740,-0.05447,-0.05425,-0.02195,-0.03457,-0.04818,-0.06075,-0.06662,-0.05952,-0.08227,-0.08575,-0.04981
"(-26.5, 27.5)",-0.02323,-0.01925,-0.04493,-0.06569,-0.07492,-0.06016,-0.05499,-0.05323,-0.02326,-0.03434,-0.05134,-0.06263,-0.06971,-0.06584,-0.08625,-0.08980,-0.05247
"(-26.5, 28.5)",-0.02283,-0.01631,-0.04674,-0.06822,-0.07716,-0.06016,-0.05306,-0.04961,-0.02429,-0.03415,-0.05377,-0.06209,-0.07018,-0.07030,-0.08738,-0.09089,-0.05307
"(-26.5, 29.5)",-0.01938,-0.01238,-0.04605,-0.06790,-0.07649,-0.05719,-0.04884,-0.04380,-0.02494,-0.03407,-0.05444,-0.05891,-0.06756,-0.07215,-0.08530,-0.08882,-0.05147
"(-26.5, 30.5)",-0.01366,-0.00785,-0.04268,-0.06482,-0.07298,-0.05151,-0.04286,-0.03640,-0.02507,-0.03392,-0.05256,-0.05329,-0.06175,-0.07089,-0.08011,-0.08375,-0.04796
"(-26.5, 31.5)",-0.00706,-0.00311,-0.03715,-0.05956,-0.06708,-0.04383,-0.03588,-0.02798,-0.02450,-0.03344,-0.04790,-0.04587,-0.05312,-0.06646,-0.07236,-0.07626,-0.04309
"(-26.5, 32.5)",-0.00119,0.00134,-0.03053,-0.05305,-0.05951,-0.03506,-0.02870,-0.01891,-0.02301,-0.03237,-0.04084,-0.03767,-0.04242,-0.05935,-0.06291,-0.06731,-0.03745
"(-26.5, 33.5)",0.00248,0.00502,-0.02422,-0.04636,-0.05098,-0.02610,-0.02189,-0.00944,-0.02043,-0.03062,-0.03221,-0.02982,-0.03067,-0.05057,-0.05271,-0.05806,-0.03157
"(-26.5, 34.5)",0.00309,0.00757,-0.01946,-0.04046,-0.04206,-0.01767,-0.01565,0.00021,-0.01671,-0.02824,-0.02293,-0.02321,-0.01894,-0.04137,-0.04260,-0.04952,-0.02582
